participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,idle,49472,0.9122,0.0113,0.1412,-91.5636,148.0226,-52.561
septian,S1,R1,idle,49482,0.9114,0.0118,0.1447,-93.156,148.5009,-61.1051
septian,S1,R1,idle,49492,0.9107,0.0125,0.1482,-94.7873,148.8427,-69.7611
septian,S1,R1,idle,49502,0.9099,0.0131,0.1517,-96.2968,148.924,-77.0722
septian,S1,R1,idle,49512,0.9092,0.0138,0.1551,-97.4154,148.5788,-82.8692
septian,S1,R1,idle,49522,0.9083,0.0144,0.1585,-98.0644,147.7457,-88.9456
septian,S1,R1,idle,49532,0.9073,0.0152,0.1618,-98.2493,146.4686,-95.6647
septian,S1,R1,idle,49542,0.9062,0.016,0.1651,-97.9619,144.8076,-102.3909
septian,S1,R1,idle,49552,0.905,0.017,0.1683,-97.2398,142.8203,-107.9295
septian,S1,R1,idle,49562,0.9037,0.018,0.1715,-96.1051,140.6346,-111.255
septian,S1,R1,idle,49572,0.9025,0.019,0.1747,-94.551,138.3802,-111.8318
septian,S1,R1,idle,49582,0.9012,0.02,0.1779,-92.5663,136.1455,-110.2615
septian,S1,R1,idle,49592,0.9,0.021,0.181,-90.1555,133.944,-107.3055
septian,S1,R1,idle,49602,0.8987,0.0219,0.1842,-87.2492,131.7351,-102.8344
septian,S1,R1,idle,49612,0.8976,0.0228,0.1874,-83.7243,129.4159,-96.823
septian,S1,R1,idle,49622,0.8963,0.0237,0.1905,-79.5314,126.9249,-89.5007
septian,S1,R1,idle,49632,0.8951,0.0245,0.1937,-74.6201,124.2284,-81.1207
septian,S1,R1,idle,49642,0.8938,0.0253,0.1967,-69.0011,121.3809,-72.2278
septian,S1,R1,idle,49652,0.8925,0.0261,0.1997,-62.7338,118.4788,-63.1958
septian,S1,R1,idle,49662,0.8912,0.0268,0.2027,-55.8204,115.596,-54.3081
septian,S1,R1,idle,49672,0.8898,0.0274,0.2056,-48.2852,112.695,-46.3039
septian,S1,R1,idle,49682,0.8884,0.028,0.2084,-40.2763,109.5705,-40.3572
septian,S1,R1,idle,49692,0.8869,0.0284,0.2112,-32.0085,105.8855,-37.3393
septian,S1,R1,idle,49702,0.8855,0.0288,0.2142,-23.2851,101.2857,-36.6288
septian,S1,R1,idle,49712,0.8839,0.0294,0.2171,-14.6388,95.814,-37.9112
septian,S1,R1,idle,49722,0.8824,0.03,0.2199,-6.5632,89.677,-39.1281
septian,S1,R1,idle,49732,0.8808,0.0306,0.2227,0.9108,83.0184,-38.7494
septian,S1,R1,idle,49742,0.8791,0.0311,0.2254,7.6537,75.8823,-37.0973
septian,S1,R1,idle,49752,0.8775,0.0314,0.228,13.5573,68.1823,-34.8401
septian,S1,R1,idle,49762,0.8757,0.0317,0.2307,18.5249,59.8061,-32.4561
septian,S1,R1,idle,49772,0.8739,0.032,0.2332,22.6458,50.7065,-30.1335
septian,S1,R1,idle,49782,0.8719,0.0322,0.2358,26.0335,41.1666,-27.9741
septian,S1,R1,idle,49792,0.8699,0.0324,0.2382,28.8136,31.7322,-25.9968
septian,S1,R1,idle,49802,0.8678,0.0326,0.2406,31.0338,22.976,-24.2052
septian,S1,R1,idle,49812,0.8656,0.0327,0.243,32.7843,15.3529,-22.4631
septian,S1,R1,idle,49822,0.8634,0.0328,0.2454,34.1677,9.0786,-20.6826
septian,S1,R1,idle,49832,0.8611,0.0329,0.2477,35.1984,4.1703,-18.7796
septian,S1,R1,idle,49842,0.8589,0.033,0.25,35.8851,0.5109,-16.7758
septian,S1,R1,idle,49852,0.8566,0.0331,0.2523,36.2226,-2.0862,-14.6592
septian,S1,R1,idle,49862,0.8543,0.0331,0.2545,36.2497,-3.8006,-12.3779
septian,S1,R1,idle,49872,0.852,0.0331,0.2567,35.9748,-4.8431,-10.1181
septian,S1,R1,idle,49882,0.8497,0.0331,0.259,35.4094,-5.4028,-8.0647
septian,S1,R1,idle,49892,0.8475,0.0331,0.2612,34.6159,-5.6194,-6.2201
septian,S1,R1,idle,49902,0.8453,0.0332,0.2635,33.6518,-5.6231,-4.4808
septian,S1,R1,idle,49912,0.8431,0.0333,0.2658,32.5961,-5.5013,-2.7362
septian,S1,R1,idle,49922,0.8409,0.0334,0.2681,31.5236,-5.3317,-0.9454
septian,S1,R1,idle,49932,0.8387,0.0335,0.2703,30.5131,-5.1651,1.012
septian,S1,R1,idle,49942,0.8365,0.0336,0.2726,29.6,-5.0022,3.0579
septian,S1,R1,idle,49952,0.8344,0.0337,0.2748,28.7766,-4.8247,5.037
septian,S1,R1,idle,49962,0.8323,0.0337,0.277,28.0275,-4.6075,6.8132
septian,S1,R1,idle,49972,0.8302,0.0337,0.2793,27.3325,-4.3601,8.2587
septian,S1,R1,idle,49982,0.8281,0.0337,0.2815,26.6495,-4.1168,9.3393
septian,S1,R1,idle,49992,0.826,0.0337,0.2836,25.9597,-3.8388,10.0544
septian,S1,R1,idle,50002,0.8239,0.0338,0.2858,25.266,-3.5106,10.5493
septian,S1,R1,idle,50012,0.8218,0.0339,0.288,24.5858,-3.1634,11.0231
septian,S1,R1,idle,50022,0.8198,0.0339,0.2902,23.9155,-2.8719,11.5991
septian,S1,R1,idle,50032,0.8178,0.034,0.2924,23.2378,-2.6478,12.2839
septian,S1,R1,idle,50042,0.8158,0.034,0.2946,22.5544,-2.4636,13.0015
septian,S1,R1,idle,50052,0.8138,0.0339,0.2968,21.8671,-2.3115,13.5544
septian,S1,R1,idle,50062,0.8118,0.0339,0.2989,21.1681,-2.1972,13.8027
septian,S1,R1,idle,50072,0.8098,0.0338,0.301,20.4362,-2.1086,13.688
septian,S1,R1,idle,50082,0.8078,0.0338,0.3031,19.6629,-2.0316,13.275
septian,S1,R1,idle,50092,0.8058,0.0338,0.3052,18.8445,-1.9365,12.6526
septian,S1,R1,idle,50102,0.8038,0.0338,0.3073,18.0033,-1.816,11.9323
septian,S1,R1,idle,50112,0.8018,0.0339,0.3094,17.1525,-1.6805,11.201
septian,S1,R1,idle,50122,0.7999,0.0339,0.3115,16.3069,-1.5418,10.5102
septian,S1,R1,idle,50132,0.7979,0.034,0.3136,15.4695,-1.4148,9.8598
septian,S1,R1,idle,50142,0.796,0.0341,0.3157,14.6355,-1.3067,9.2425
septian,S1,R1,idle,50152,0.794,0.0341,0.3178,13.8161,-1.2193,8.6452
septian,S1,R1,idle,50162,0.7921,0.0342,0.3199,13.0064,-1.1404,8.0612
septian,S1,R1,idle,50172,0.7901,0.0343,0.322,12.2116,-1.0597,7.4729
septian,S1,R1,idle,50182,0.7882,0.0345,0.324,11.4485,-0.9745,6.9219
septian,S1,R1,idle,50192,0.7863,0.0346,0.3261,10.72,-0.8734,6.4707
septian,S1,R1,idle,50202,0.7844,0.0348,0.3281,10.0495,-0.7639,6.1655
septian,S1,R1,idle,50212,0.7825,0.035,0.3302,9.4425,-0.6639,6.0305
septian,S1,R1,idle,50222,0.7807,0.0351,0.3323,8.9085,-0.5859,6.059
septian,S1,R1,idle,50232,0.7788,0.0352,0.3343,8.4479,-0.5359,6.1733
septian,S1,R1,idle,50242,0.777,0.0354,0.3364,8.0477,-0.5113,6.3082
septian,S1,R1,idle,50252,0.7753,0.0355,0.3384,7.6879,-0.5034,6.4296
septian,S1,R1,idle,50262,0.7735,0.0356,0.3404,7.3667,-0.5109,6.5215
septian,S1,R1,idle,50272,0.7717,0.0358,0.3424,7.0762,-0.5278,6.5951
septian,S1,R1,idle,50282,0.7699,0.0359,0.3444,6.8175,-0.5559,6.6686
septian,S1,R1,idle,50292,0.7681,0.036,0.3464,6.5839,-0.601,6.7488
septian,S1,R1,idle,50302,0.7663,0.0361,0.3484,6.379,-0.6711,6.8252
septian,S1,R1,idle,50312,0.7645,0.0362,0.3504,6.1962,-0.7611,6.8655
septian,S1,R1,idle,50322,0.7627,0.0363,0.3524,6.0452,-0.8597,6.8294
septian,S1,R1,idle,50332,0.7609,0.0364,0.3543,5.9134,-0.9456,6.6642
septian,S1,R1,idle,50342,0.7591,0.0365,0.3561,5.8043,-1.0055,6.3709
septian,S1,R1,idle,50352,0.7573,0.0366,0.358,5.6983,-1.0304,5.9637
septian,S1,R1,idle,50362,0.7554,0.0367,0.3599,5.6,-1.0202,5.4756
septian,S1,R1,idle,50372,0.7536,0.0369,0.3618,5.518,-0.9845,4.9645
septian,S1,R1,idle,50382,0.7519,0.037,0.3637,5.4516,-0.932,4.4842
septian,S1,R1,idle,50392,0.7501,0.0372,0.3656,5.3937,-0.8797,4.0783
septian,S1,R1,idle,50402,0.7484,0.0373,0.3675,5.3472,-0.8355,3.7809
septian,S1,R1,idle,50412,0.7466,0.0375,0.3694,5.3162,-0.8059,3.6028
septian,S1,R1,idle,50422,0.7449,0.0376,0.3713,5.2995,-0.79,3.5021
septian,S1,R1,idle,50432,0.7431,0.0377,0.3731,5.2936,-0.7837,3.4231
septian,S1,R1,idle,50442,0.7414,0.0378,0.375,5.2922,-0.7744,3.3115
septian,S1,R1,idle,50452,0.7397,0.0379,0.3769,5.2926,-0.7589,3.1483
septian,S1,R1,idle,50462,0.738,0.038,0.3787,5.3016,-0.7357,2.9279
septian,S1,R1,idle,50472,0.7363,0.0382,0.3805,5.3191,-0.7009,2.6734
septian,S1,R1,idle,50482,0.7346,0.0383,0.3823,5.3413,-0.6598,2.4306
septian,S1,R1,idle,50492,0.7329,0.0384,0.3842,5.3683,-0.6218,2.2261
septian,S1,R1,idle,50502,0.7313,0.0386,0.386,5.4057,-0.591,2.0684
