participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,rotate,62382,0.3316,-0.0232,-0.1531,-217.7653,110.728,-247.7695
septian,S1,R1,rotate,62392,0.3289,-0.017,-0.1516,-204.8856,113.6387,-247.9051
septian,S1,R1,rotate,62402,0.3264,-0.0108,-0.1499,-184.6173,115.8098,-248.0273
septian,S1,R1,rotate,62412,0.3242,-0.0048,-0.1481,-155.4473,116.4727,-248.138
septian,S1,R1,rotate,62422,0.3221,0.001,-0.1462,-119.3018,115.1355,-248.2387
septian,S1,R1,rotate,62432,0.3199,0.0064,-0.1446,-81.0238,111.4373,-244.7036
septian,S1,R1,rotate,62442,0.3176,0.0111,-0.143,-45.1429,104.6711,-233.9628
septian,S1,R1,rotate,62452,0.3153,0.0151,-0.1415,-14.5585,93.8587,-207.7994
septian,S1,R1,rotate,62462,0.3129,0.0182,-0.1401,8.7593,77.7203,-152.0547
septian,S1,R1,rotate,62472,0.3103,0.021,-0.1389,24.3621,56.6733,-63.8396
septian,S1,R1,rotate,62482,0.3074,0.0237,-0.1379,33.4234,34.4558,25.2001
septian,S1,R1,rotate,62492,0.3046,0.0265,-0.137,38.0913,16.5722,85.0546
septian,S1,R1,rotate,62502,0.3017,0.0295,-0.136,40.5314,5.6111,121.5728
septian,S1,R1,rotate,62512,0.2991,0.0324,-0.135,41.9423,0.582,147.073
septian,S1,R1,rotate,62522,0.2966,0.0356,-0.1338,42.7552,-1.1235,165.0415
septian,S1,R1,rotate,62532,0.2942,0.039,-0.1327,43.353,-1.936,178.0762
septian,S1,R1,rotate,62542,0.292,0.0429,-0.1315,44.0342,-2.9239,190.7628
septian,S1,R1,rotate,62552,0.2898,0.047,-0.1305,44.9746,-4.3803,205.511
septian,S1,R1,rotate,62562,0.2877,0.0515,-0.1294,46.1871,-6.174,216.383
septian,S1,R1,rotate,62572,0.2855,0.056,-0.1284,47.8482,-8.0604,224.1312
septian,S1,R1,rotate,62582,0.2835,0.0605,-0.1273,50.0746,-9.8413,229.6317
septian,S1,R1,rotate,62592,0.2816,0.0651,-0.1262,52.8805,-11.5332,233.5867
septian,S1,R1,rotate,62602,0.2798,0.0701,-0.1251,56.4282,-13.2955,236.4884
septian,S1,R1,rotate,62612,0.2781,0.0752,-0.124,61.0143,-15.2615,238.6656
septian,S1,R1,rotate,62622,0.2765,0.0803,-0.1227,66.9599,-17.7129,240.3355
septian,S1,R1,rotate,62632,0.2748,0.0853,-0.1215,74.4022,-20.9718,241.6425
septian,S1,R1,rotate,62642,0.2732,0.09,-0.1203,83.3616,-25.1595,242.6848
septian,S1,R1,rotate,62652,0.2717,0.0942,-0.1191,93.8418,-30.1713,243.5296
septian,S1,R1,rotate,62662,0.2704,0.0981,-0.118,105.8136,-36.0763,244.2247
septian,S1,R1,rotate,62672,0.2692,0.1014,-0.1168,118.6399,-42.5643,244.8041
septian,S1,R1,rotate,62682,0.2681,0.1043,-0.1157,131.1682,-49.5622,245.2927
septian,S1,R1,rotate,62692,0.2671,0.107,-0.1147,142.2289,-56.9484,245.709
septian,S1,R1,rotate,62702,0.2662,0.1096,-0.1137,151.8694,-64.8931,246.0672
septian,S1,R1,rotate,62712,0.2654,0.1113,-0.1127,161.7682,-73.434,246.3779
septian,S1,R1,rotate,62722,0.2646,0.1123,-0.1119,172.5186,-81.7335,246.6494
septian,S1,R1,rotate,62732,0.2639,0.1127,-0.1113,183.6338,-87.7622,246.8885
septian,S1,R1,rotate,62742,0.2632,0.1125,-0.1107,195.0339,-90.7855,247.1001
septian,S1,R1,rotate,62752,0.2627,0.1116,-0.1102,205.9293,-90.8323,247.2887
septian,S1,R1,rotate,62762,0.2624,0.1095,-0.1103,215.0323,-88.6325,247.4575
septian,S1,R1,rotate,62772,0.2621,0.1063,-0.1104,221.2387,-83.9858,247.6094
septian,S1,R1,rotate,62782,0.2623,0.1022,-0.1101,223.24,-77.15,247.7467
septian,S1,R1,rotate,62792,0.2621,0.0979,-0.11,220.3788,-69.4372,247.8712
septian,S1,R1,rotate,62802,0.262,0.0937,-0.11,212.2272,-57.1908,247.9847
septian,S1,R1,rotate,62812,0.2625,0.0894,-0.1098,199.0535,-38.9473,248.0884
septian,S1,R1,rotate,62822,0.2637,0.085,-0.1094,181.7766,-19.4789,248.1835
septian,S1,R1,rotate,62832,0.2652,0.0808,-0.1086,161.0618,-8.587,248.271
septian,S1,R1,rotate,62842,0.2664,0.0766,-0.1081,139.0984,-9.741,248.3517
septian,S1,R1,rotate,62852,0.2673,0.0723,-0.1079,118.595,-16.3488,248.2385
septian,S1,R1,rotate,62862,0.2679,0.068,-0.1079,101.2833,-23.5217,246.4111
septian,S1,R1,rotate,62872,0.2686,0.0639,-0.1079,87.2582,-28.2996,242.9626
septian,S1,R1,rotate,62882,0.2693,0.0596,-0.1078,76.0195,-31.8214,237.8437
septian,S1,R1,rotate,62892,0.27,0.0551,-0.1078,66.6817,-35.1329,230.0723
septian,S1,R1,rotate,62902,0.2705,0.0505,-0.1083,58.124,-36.9052,218.7452
septian,S1,R1,rotate,62912,0.2709,0.0457,-0.1086,50.8437,-35.9516,202.0401
septian,S1,R1,rotate,62922,0.2712,0.0408,-0.1088,44.1288,-32.9901,176.5215
septian,S1,R1,rotate,62932,0.2714,0.0359,-0.1089,38.0954,-27.1113,135.3587
septian,S1,R1,rotate,62942,0.2722,0.0313,-0.1089,31.0974,-17.1253,81.0233
septian,S1,R1,rotate,62952,0.2737,0.0268,-0.1087,23.0333,-6.6537,29.5076
septian,S1,R1,rotate,62962,0.2751,0.0223,-0.1087,14.53,-1.0721,-10.3625
septian,S1,R1,rotate,62972,0.2762,0.0178,-0.1088,5.782,-0.9377,-43.5063
septian,S1,R1,rotate,62982,0.2771,0.0133,-0.1089,-2.9814,-2.5453,-74.571
septian,S1,R1,rotate,62992,0.2781,0.0085,-0.1089,-12.1884,-3.3498,-107.1465
septian,S1,R1,rotate,63002,0.279,0.0037,-0.1089,-22.5631,-3.32,-143.7624
septian,S1,R1,rotate,63012,0.2799,-0.001,-0.109,-34.5018,-3.1553,-179.9425
septian,S1,R1,rotate,63022,0.2806,-0.0054,-0.1091,-47.9401,-3.1137,-203.9875
septian,S1,R1,rotate,63032,0.2813,-0.0095,-0.1092,-62.7488,-3.0658,-218.5878
septian,S1,R1,rotate,63042,0.2818,-0.013,-0.1093,-78.971,-2.6614,-227.4295
septian,S1,R1,rotate,63052,0.2822,-0.016,-0.1094,-96.0761,-1.5921,-232.9923
septian,S1,R1,rotate,63062,0.2827,-0.0186,-0.1095,-112.6584,0.2916,-236.6669
septian,S1,R1,rotate,63072,0.283,-0.0209,-0.1095,-127.2873,3.0321,-239.2097
septian,S1,R1,rotate,63082,0.2831,-0.0229,-0.1094,-141.4213,7.2331,-241.0423
septian,S1,R1,rotate,63092,0.2831,-0.0243,-0.1094,-155.5312,13.4568,-242.4091
septian,S1,R1,rotate,63102,0.2829,-0.0247,-0.1093,-167.4293,21.0272,-243.4584
septian,S1,R1,rotate,63112,0.2826,-0.0243,-0.1092,-176.7484,30.6671,-244.2839
septian,S1,R1,rotate,63122,0.2824,-0.0232,-0.1093,-183.1422,43.4666,-244.9469
